0.03	7.2	0.5466
0.03	7.3	0.4721
0.03	7.4	0.3931
0.03	7.5	0.3105
0.03	7.6	0.2249
0.03	7.7	0.1374
0.03	7.8	0.0488
0.03	7.9	-0.0401
0.03	8.0	-0.1283
0.03	8.1	-0.2149
0.03	8.2	-0.2991
0.03	8.3	-0.3801
0.03	8.4	-0.4571
0.03	8.5	-0.5293
0.03	8.6	-0.5960
0.03	8.7	-0.6565
0.03	8.8	-0.7103
0.03	8.9	-0.7568
0.03	9.0	-0.7957
0.03	9.1	-0.8265
0.03	9.2	-0.8490
0.03	9.3	-0.8629
0.03	9.4	-0.8682
0.03	9.5	-0.8648
0.03	9.6	-0.8528
0.03	9.7	-0.8323
0.03	9.8	-0.8036
0.03	9.9	-0.7669
0.03	10.0	-0.7227
0.04	0.0	1.0000
0.04	0.1	0.9930
0.04	0.2	0.9762
0.04	0.3	0.9496
0.04	0.4	0.9138
0.04	0.5	0.8689
0.04	0.6	0.8156
0.04	0.7	0.7543
0.04	0.8	0.6858
0.04	0.9	0.6107
0.04	1.0	0.5298
0.04	1.1	0.4439
0.04	1.2	0.3540
0.04	1.3	0.2609
0.04	1.4	0.1655
0.04	1.5	0.0689
0.04	1.6	-0.0280
0.04	1.7	-0.1242
0.04	1.8	-0.2188
0.04	1.9	-0.3109
0.04	2.0	-0.3995
0.04	2.1	-0.4837
0.04	2.2	-0.5628
0.04	2.3	-0.6360
0.04	2.4	-0.7025
0.04	2.5	-0.7618
0.04	2.6	-0.8132
0.04	2.7	-0.8563
0.04	2.8	-0.8907
0.04	2.9	-0.9161
0.04	3.0	-0.9323
0.04	3.1	-0.9390
0.04	3.2	-0.9364
0.04	3.3	-0.9245
0.04	3.4	-0.9034
0.04	3.5	-0.8734
0.04	3.6	-0.8348
0.04	3.7	-0.7880
0.04	3.8	-0.7335
0.04	3.9	-0.6720
0.04	4.0	-0.6039
0.04	4.1	-0.5302
0.04	4.2	-0.4514
0.04	4.3	-0.3685
0.04	4.4	-0.2822
0.04	4.5	-0.1935
0.04	4.6	-0.1031
0.04	4.7	-0.0121
0.04	4.8	0.0786
0.04	4.9	0.1682
0.04	5.0	0.2558
0.04	5.1	0.3405
0.04	5.2	0.4214
0.04	5.3	0.4978
0.04	5.4	0.5690
0.04	5.5	0.6342
0.04	5.6	0.6928
0.04	5.7	0.7442
0.04	5.8	0.7881
0.04	5.9	0.8239
0.04	6.0	0.8513
0.04	6.1	0.8701
0.04	6.2	0.8802
0.04	6.3	0.8815
0.04	6.4	0.8740
0.04	6.5	0.8578
0.04	6.6	0.8331
0.04	6.7	0.8002
0.04	6.8	0.7594
0.04	6.9	0.7113
0.04	7.0	0.6562
0.04	7.1	0.5948
0.04	7.2	0.5278
0.04	7.3	0.4557
0.04	7.4	0.3794
0.04	7.5	0.2996
0.04	7.6	0.2171
0.04	7.7	0.1328
0.04	7.8	0.0475
0.04	7.9	-0.0379
0.04	8.0	-0.1226
0.04	8.1	-0.2058
0.04	8.2	-0.2865
0.04	8.3	-0.3641
0.04	8.4	-0.4378
0.04	8.5	-0.5068
0.04	8.6	-0.5704
0.04	8.7	-0.6281
0.04	8.8	-0.6793
0.04	8.9	-0.7236
0.04	9.0	-0.7604
0.04	9.1	-0.7895
0.04	9.2	-0.8107
0.04	9.3	-0.8236
0.04	9.4	-0.8283
0.04	9.5	-0.8247
0.04	9.6	-0.8129
0.04	9.7	-0.7931
0.04	9.8	-0.7654
0.04	9.9	-0.7302
0.04	10.0	-0.6879
0.05	0.0	1.0000
0.05	0.1	0.9925
0.05	0.2	0.9752
0.05	0.3	0.9482
0.05	0.4	0.9119
0.05	0.5	0.8668
0.05	0.6	0.8132
0.05	0.7	0.7517
0.05	0.8	0.6831
0.05	0.9	0.6080
0.05	1.0	0.5272
0.05	1.1	0.4416
0.05	1.2	0.3520
0.05	1.3	0.2593
0.05	1.4	0.1645
0.05	1.5	0.0686
0.05	1.6	-0.0276
0.05	1.7	-0.1230
0.05	1.8	-0.2167
0.05	1.9	-0.3078
0.05	2.0	-0.3953
0.05	2.1	-0.4785
0.05	2.2	-0.5565
0.05	2.3	-0.6285
0.05	2.4	-0.6940
0.05	2.5	-0.7522
0.05	2.6	-0.8026
0.05	2.7	-0.8447
0.05	2.8	-0.8782
0.05	2.9	-0.9029
0.05	3.0	-0.9183
0.05	3.1	-0.9246
0.05	3.2	-0.9216
0.05	3.3	-0.9094
0.05	3.4	-0.8883
0.05	3.5	-0.8584
0.05	3.6	-0.8200
0.05	3.7	-0.7737
0.05	3.8	-0.7199
0.05	3.9	-0.6593
0.05	4.0	-0.5923
0.05	4.1	-0.5198
0.05	4.2	-0.4424
0.05	4.3	-0.3611
0.05	4.4	-0.2765
0.05	4.5	-0.1896
0.05	4.6	-0.1012
0.05	4.7	-0.0123
0.05	4.8	0.0763
0.05	4.9	0.1637
0.05	5.0	0.2490
0.05	5.1	0.3314
0.05	5.2	0.4101
0.05	5.3	0.4844
0.05	5.4	0.5534
0.05	5.5	0.6166
0.05	5.6	0.6733
0.05	5.7	0.7230
0.05	5.8	0.7653
0.05	5.9	0.7997
0.05	6.0	0.8260
0.05	6.1	0.8439
0.05	6.2	0.8533
0.05	6.3	0.8542
0.05	6.4	0.8465
0.05	6.5	0.8305
0.05	6.6	0.8062
0.05	6.7	0.7741
0.05	6.8	0.7344
0.05	6.9	0.6875
0.05	7.0	0.6341
0.05	7.1	0.5746
0.05	7.2	0.5096
0.05	7.3	0.4399
0.05	7.4	0.3662
0.05	7.5	0.2892
0.05	7.6	0.2097
0.05	7.7	0.1285
0.05	7.8	0.0464
0.05	7.9	-0.0357
0.05	8.0	-0.1171
0.05	8.1	-0.1969
0.05	8.2	-0.2743
0.05	8.3	-0.3486
0.05	8.4	-0.4191
0.05	8.5	-0.4850
0.05	8.6	-0.5458
0.05	8.7	-0.6009
0.05	8.8	-0.6496
0.05	8.9	-0.6917
0.05	9.0	-0.7266
0.05	9.1	-0.7542
0.05	9.2	-0.7740
0.05	9.3	-0.7861
0.05	9.4	-0.7903
0.05	9.5	-0.7865
0.05	9.6	-0.7750
0.05	9.7	-0.7558
0.05	9.8	-0.7291
0.05	9.9	-0.6953
0.05	10.0	-0.6548
0.06	0.0	1.0000
0.06	0.1	0.9920
0.06	0.2	0.9742
0.06	0.3	0.9468
0.06	0.4	0.9101
0.06	0.5	0.8646
0.06	0.6	0.8108
0.06	0.7	0.7491
0.06	0.8	0.6804
0.06	0.9	0.6054
0.06	1.0	0.5247
0.06	1.1	0.4393
0.06	1.2	0.3500
0.06	1.3	0.2578
0.06	1.4	0.1636
0.06	1.5	0.0683
0.06	1.6	-0.0271
0.06	1.7	-0.1217
0.06	1.8	-0.2145
0.06	1.9	-0.3046
0.06	2.0	-0.3911
0.06	2.1	-0.4733
0.06	2.2	-0.5502
0.06	2.3	-0.6211
0.06	2.4	-0.6855
0.06	2.5	-0.7426
0.06	2.6	-0.7920
0.06	2.7	-0.8333
0.06	2.8	-0.8659
0.06	2.9	-0.8898
0.06	3.0	-0.9046
0.06	3.1	-0.9104
